CATEGORIA,CÓD,NOME,UND,PRECO
Limpeza,78,LUVA LATEX P,UND,"4,72"
Limpeza,,LUVA LATEX M,UND,"0,00"
Limpeza,,LUVA LATEX G,UND,"0,00"
Limpeza,150,MOP REFIL BRUXA,UND,"17,08"
Limpeza,114,MULTIUSO,UND,"3,50"
Limpeza,94,PÁ DE LIXO,UND,"0,00"
Limpeza,28,PANO MULTIUSO,UND,"6,93"
Limpeza,103,SABÃO EM BARRA AZUL,UND,"2,15"
Limpeza,104,SABÃO EM PO,UND,"3,96"
Limpeza,165,SABÃO PASTA 500G,UND,"7,57"
Limpeza,33,SACO ALVEJADO BCO,UND,"6,75"
Limpeza,303,SANITIZANTE CLOROVEG 1KG,UND,"36,03"
Limpeza,109,SAPOLIO CREMOSO,UND,"4,83"
Limpeza,113,VASSOURA,UND,"10,98"
Bebidas,311,AGUA C/GÁS 2L,UND,"5,39"
Bebidas,209,"POLPA 1,2KG ABACAXI",PC,"19,73"
Bebidas,212,"POLPA 1,2KG ACEROLA",PC,"22,59"
Bebidas,211,"POLPA 1,2KG LARANJA",PC,"0,00"
Bebidas,295,"POLPA 1,2KG LIMÃO",PC,"16,39"
Bebidas,243,"POLPA 1,2KG MANGA",PC,"17,21"
Bebidas,235,"POLPA 1,2KG MORANGO",PC,"0,00"
Bebidas,257,"POLPA 1,2KG MARACUJÁ",PC,"0,00"
Bebidas,210,"POLPA 1,2KG UVA",PC,"17,00"
Bebidas,262,"POLPA 1,2KG PESSEGO",PC,"0,00"
Bebidas,34,REFRESCO PO MISTO,UND,"8,96"
Bebidas,,REFRESCO PO ABACAXI,UND,"0,00"
Bebidas,,REFRESCO PO GUARANÁ,UND,"0,00"
Bebidas,,REFRESCO PO LARANJA,UND,"0,00"
Bebidas,,REFRESCO PO LIMÃO,UND,"0,00"
Bebidas,,REFRESCO PO MARACUJÁ,UND,"0,00"
Bebidas,,REFRESCO PO MORANGO,UND,"0,00"
Bebidas,,REFRESCO PO PESSEGO,UND,"0,00"
Bebidas,,REFRESCO PO SALADA DE FRUTAS,UND,"0,00"
Bebidas,,REFRESCO PO UVA,UND,"0,00"
Bebidas,100,REFRIGERANTE COCA COLA 2L,UND,"3,39"
Bebidas,101,REFRIGERANTE COCA COLA ZERO 2L,UND,"0,00"
Bebidas,99,REFRIGERANTE GUARANA ANTARTICA 2L,UND,"0,00"
Bebidas,102,REFRIGERANTE GUARANA FRUKI 2L,UND,"5,22"
Bebidas,292,REFRIGERANTE PET 200ML,UND,"0,00"
Bebidas,167,REFRIGERANTE PEPSI 2L,UND,"8,43"
Bebidas,232,REFRIGERANTE COCA COLA LATA 350ML,UND,"0,00"
Bebidas,233,REFRIGERANTE COCA COLA ZERO LATA 350ML,UND,"0,00"
Bebidas,229,REFRIGERANTE FANTA LATA 350ML,UND,"0,00"
Bebidas,230,REFRIGERANTE GUARANA LATA 350ML,UND,"0,00"
Bebidas,231,REFRIGERANTE SPRITE LATA 350ML,UND,"0,00"
Bebidas,195,SUCO CX,UND,"0,00"
Bebidas,35,SUCO EM PO,UND,"0,00"
Bebidas,294,SUCO TANG,UND,"1,29"
Bebidas,199,SUCO MARACUJA 500ML,UND,"0,00"
Bebidas,117,VINHO TINTO SECO,UND,"11,41"
Bebidas,117,VINHO TINTO SUAVE,UND,"11,41"
Lanches,279,DOGÃO,UND,"0,00"
Lanches,278,EMPADÃO FOLHADO,UND,"0,00"
Lanches,238,PÃO DE QUEIJO,KG,"0,00"
Lanches,275,PIZZA BROTINHO (MASSA),UND,"0,00"
Lanches,280,PIZZA BROTO (RECHEADA),UND,"0,00"
